locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
Call_Status	dbo	view
Call_Types	dbo	view
Customers	dbo	view
Empresas SM Eliminadas	dbo	view
Logged_Calls	dbo	view
SbeT_CartaColilla	dbo	view
SreT_EmpresasTipo	dbo	view
sysconstraints	dbo	view
syssegments	dbo	view
Users	dbo	view
View_Adherentes	dbo	view
View_AdherentesPlan	dbo	view
View_AdhSegBase	dbo	view
View_BonificacionSaldos	dbo	view
View_CasualesRechazos	dbo	view
View_CertiFarma	dbo	view
view_ColillaCar	dbo	view
view_ColillaConvenio	dbo	view
View_ColillaRemesa	dbo	view
View_ColillasNoAsignadas	dbo	view
View_CompTblFormaPago	dbo	view
View_DelegadoEmpFolCarta	dbo	view
View_DestinatarioSucFolCarta	dbo	view
View_DetalleReembolsosEmpresa	dbo	view
View_DetalleReembolsosEmpresa721	dbo	view
view_detbon	dbo	view
View_EjeMantencionEmp	dbo	view
View_EjeMantencionEmp_bkp	dbo	view
View_EjeMantencionSucFolCarta	dbo	view
View_GesAdherentes	dbo	view
View_GestColillaAmb	dbo	view
View_GestColillaAmbDias	dbo	view
View_GestColillaProg	dbo	view
View_GestColillaProg500	dbo	view
View_GestColillaProg500Dias	dbo	view
View_GestColillaProgDias	dbo	view
View_GestColillaReem	dbo	view
View_GestColillaReemProg	dbo	view
View_GestColillasHolding	dbo	view
View_GestRechazosfixDespacho	dbo	view
View_GestRechazosParciales	dbo	view
View_GestRechazosTotales	dbo	view
View_GestRechazosTotParc	dbo	view
View_GestResumenColillaDiasReem	dbo	view
View_GestResumenColillaReem	dbo	view
View_GestTotalRechazos	dbo	view
View_GlbT_Comunas	dbo	view
View_GuiaSobres	dbo	view
View_ImagenesRechazos	dbo	view
View_IndicadoresColillas	dbo	view
View_IndicadoresColillasSuscritas	dbo	view
View_IndicadoresColillasSuscritas_20090112	dbo	view
view_maecta	dbo	view
View_MatrizTransSaldos	dbo	view
View_PrestacionesBienestar	dbo	view
view_PrestacionRubro	dbo	view
View_RechazosMalGrabados	dbo	view
View_Reembolso	dbo	view
View_ResumenFechasSeguro	dbo	view
View_ResumenSeguroEmpCon	dbo	view
View_SeguroCatastroficoAdh	dbo	view
View_SeguroVidaAdh	dbo	view
view_TopesPorGrupo	dbo	view
View_Trabajador	dbo	view
vTmpT_Reembolsos	dbo	view
AA_Banchile20100728	dbo	user table
AA_BanchileSQLT0057	dbo	user table
Adh800	dbo	user table
AfpT_AltasCargas	dbo	user table
AfpT_AltasTitulares	dbo	user table
AfpT_BajasCargas	dbo	user table
AfpT_BajasTitulares	dbo	user table
AfpT_Cargas	dbo	user table
AfpT_Cobranza	dbo	user table
