locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
AGENCIASSAP	dbo	view
AGENCIASSAPSAL	dbo	view
AMB_DDP_AUX	dbo	view
ANTICIPADA_ORIGINAL	dbo	view
ANULACION	dbo	view
AUDITA_OPA	dbo	view
AUGE	dbo	view
BCP_ADVANCED	dbo	view
BCP_BON_CDT	dbo	view
BEN	dbo	view
BEN_INTA	dbo	view
BEN_PSIQUI	dbo	view
BEN_SMAR	dbo	view
BEN_UC	dbo	view
BON201001	dbo	view
BONO	dbo	view
BONOS_AMBULATORIOS	dbo	view
BONOS_AMBULATORIOS_HIS	dbo	view
BONOS_EMP	dbo	view
BONOS_IMED	dbo	view
BONOS_NULOSYDEVUELTOS	dbo	view
BONSAP	dbo	view
BON_CC	dbo	view
BSE	dbo	view
BSETODO	dbo	view
BSE_UCHILE	dbo	view
CADUCOS	dbo	view
CARTAS_LEG	dbo	view
CARTAS_NULAS	dbo	view
CARTAS_TODO	dbo	view
CARTAS_TODO_FACTOR	dbo	view
CATEG	dbo	view
CATEGORIA	dbo	view
CDT	dbo	view
CDTAUGE	dbo	view
CDTCOMP	dbo	view
CDTCOMP_HISTORICA	dbo	view
CERRADAS	dbo	view
CIRCULAR	dbo	view
CIRCULAR_159	dbo	view
CIRCULAR_INFORME	dbo	view
CIRC_21_TI	dbo	view
CNT	dbo	view
CNT_NOM	dbo	view
CNT_PASO	dbo	view
CNT_PSIQUI	dbo	view
CNT_SII	dbo	view
CNT_VIG	dbo	view
COB	dbo	view
COB_IQ	dbo	view
COB_PASO	dbo	view
COB_VIG	dbo	view
COMISPERIODO	dbo	view
COMIS_68	dbo	view
COMPENSA_OPA	dbo	view
COMUNAS	dbo	view
COND_11	dbo	view
COND_12	dbo	view
COND_21	dbo	view
COND_22	dbo	view
COND_23	dbo	view
COND_TODO	dbo	view
CONTROLES	dbo	view
CORREO1	dbo	view
CORREO2	dbo	view
CORREO3	dbo	view
CORREO4	dbo	view
CRM_PLAN_JOVEN	dbo	view
CRM_USUARIOREG	dbo	view
CRM_USUARIOSTGO	dbo	view
DEPOSITOS	dbo	view
DESA_SERIE	dbo	view
DIAS_OFICINA	dbo	view
DPL	dbo	view
DRE_VAX	dbo	view
DTIACT	dbo	view
DTIGEN	dbo	view
EAH201001	dbo	view
EAM201001	dbo	view
EEP	dbo	view
EMISIONAMB	dbo	view
EMISIONAMBBK	dbo	view
EMISIONAMBGK	dbo	view
EMISIONAMBPF	dbo	view
EMISIONAMBPK	dbo	view
EMISIONOPA	dbo	view
EMISIONOPA_SAP	dbo	view
EMISOR	dbo	view
EMP_IQ	dbo	view
EMP_P	dbo	view
EMP_VAX	dbo	view
EPL	dbo	view
ERRFUNES	dbo	view
EXC_LEGACY_NO_SAP	dbo	view
EXC_SAP_NO_LEGACY	dbo	view
EXS_LIBRO	dbo	view
FACTORES_CARTAS	dbo	view
FRAUDE_LIC	dbo	view
FUNAGV	dbo	view
FUN_SALIDA	dbo	view
Factores_Cartas	dbo	view
GARANTIA	dbo	view
GARANTIAS_BON_HOSP	dbo	view
GESUSOS	dbo	view
GES_ESTUDIO	dbo	view
GLS_CAMPANA	dbo	view
HISTORIA	dbo	view
HONORA	dbo	view
INFORME_FUNES	dbo	view
INGCRIS	dbo	view
INMUNE	dbo	view
INMUNE_BCP	dbo	view
INMUNE_RE	dbo	view
INTERFAZ	dbo	view
INTERFAZENV	dbo	view
IQ_CIE	dbo	view
IQ_COMUNA	dbo	view
IQ_MAESTRO_PREST	dbo	view
IQ_MAESTRO_PR_OTORG	dbo	view
IQ_MEDICOS_STAFF	dbo	view
IQ_PREFACTURAS	dbo	view
IQ_PRESUPUESTO	dbo	view
IQ_PRM_CONTRALORIAS	dbo	view
IQ_SOLTRA3	dbo	view
