
SQL*Plus: Release 11.2.0.3.0 Production on Wed Sep 25 11:50:10 2013

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 10g Enterprise Edition Release 10.2.0.5.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options

SQL> SQL> 
OBJECT_NAME		       OBJECT_TYPE	   OWNER
------------------------------ ------------------- ------------------------------
ACTUALIZA_RUT_MES	       SYNONYM		   PUBLIC
ACTU_FECHAS_BENEF	       SYNONYM		   PUBLIC
ACTU_LIQUIDACIONES	       SYNONYM		   PUBLIC
AFIL_VF_PRECIOS_BENEFICIO      SYNONYM		   PUBLIC
AFIL_VF_PRECIOS_PLANES_BC      SYNONYM		   PUBLIC
AFI_AUX_BCC		       SYNONYM		   PUBLIC
AFI_BENEFICIARIOS_CONTRATO     TABLE		   AFIL
AFI_BENEFICIARIOS_CONTRATO     SYNONYM		   PUBLIC
AFI_BENEFICIARIOS_CONTRATO_OLD SYNONYM		   PUBLIC
AFI_BENEFICIARIOS_CONTRATO_OLD TABLE		   AFIL
AFI_BENEFICIOS_COMP	       SYNONYM		   PUBLIC
AFI_BENEFICIOS_COMP	       TABLE		   AFIL
AFI_BENEFICIOS_COMP_OLD        TABLE		   AFIL
AFI_BENEFICIOS_COMP_OLD        SYNONYM		   PUBLIC
AFI_BENEFICIO_COMP_PROC        SYNONYM		   PUBLIC
AFI_CAMBIOS_MEDICOS_CABECERAS  SYNONYM		   PUBLIC
AFI_CENTROS_COSTO	       SYNONYM		   PUBLIC
AFI_CONTRATOS_AFILIADOS        SYNONYM		   PUBLIC
AFI_CONTRATOS_AFILIADOS        TABLE		   AFIL
AFI_CONTRATOS_AFILIADOS_OLD    TABLE		   AFIL
AFI_CONTRATOS_AFILIADOS_OLD    SYNONYM		   PUBLIC
AFI_CONVENIOS_COLECTIVOS       SYNONYM		   PUBLIC
AFI_COTIZACIONES_PACTADAS      SYNONYM		   PUBLIC
AFI_COTIZACIONES_PACTADAS      TABLE		   AFIL
AFI_COTIZACIONES_PACTADAS_OLD  TABLE		   AFIL
AFI_COTIZACIONES_PACTADAS_OLD  SYNONYM		   PUBLIC
AFI_DECLARACIONES_SALUD        SYNONYM		   PUBLIC
AFI_DET_CAMBIO_MEDICO_CABECERA SYNONYM		   PUBLIC
AFI_DIGITADORES 	       SYNONYM		   PUBLIC
AFI_DOMINIOS		       SYNONYM		   PUBLIC
AFI_EMPRESAS		       SYNONYM		   PUBLIC
AFI_INDICES		       SYNONYM		   PUBLIC
AFI_MEDICOS_CABECERA	       SYNONYM		   PUBLIC
AFI_PERIODOS		       SYNONYM		   PUBLIC
AFI_PERSONAS		       TABLE		   AFIL
AFI_PERSONAS		       SYNONYM		   PUBLIC
AFI_PERSONAS_OLD	       TABLE		   AFIL
AFI_PERSONAS_OLD	       SYNONYM		   PUBLIC
AFI_PERSONAS_OLD2	       SYNONYM		   PUBLIC
AGME_SEQ		       SYNONYM		   PUBLIC
ALERTLOG		       SYNONYM		   PUBLIC
ALERT_CHECK		       SYNONYM		   PUBLIC
ALERT_CHECK		       TABLE		   ORADBO
ALERT_CHECK		       TABLE		   SYS
ALERT_LOG		       SYNONYM		   PUBLIC
ALERT_TYPE		       TYPE		   SYS
ALERT_TYPE		       SYNONYM		   PUBLIC
