
SQL*Plus: Release 11.2.0.3.0 Production on Wed Mar 5 18:59:48 2014

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 10g Enterprise Edition Release 10.2.0.5.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options

SQL> SQL> 
OBJECT_NAME		       PROCEDURE_NAME		      OBJECT_TYPE	  OWNER
------------------------------ ------------------------------ ------------------- ------------------------------
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$STANDARD_CHR	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRANSLATE	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
PCK_PROCESOS		       ABONAR_CARTERA		      PACKAGE		  AFIL
DBMS_DEBUG		       ABORT			      PACKAGE		  SYS
DBMS_CRYPTO_TOOLKIT	       ABORTIDENTITY		      PACKAGE		  SYS
GENERA_PLANO_EN_SERVIDOR       ABRE_ARCHIVO		      PACKAGE		  COTIZ
PCK_SIL_GESTION_ADIC	       ABRE_ARCHIVO		      PACKAGE		  SIL
PCK_REGCTA_2_ANALISIS2	       ABRE_ARCHIVO		      PACKAGE		  REGCTA
PCK_REGCTA_REGULMASIVAS        ABRE_ARCHIVO		      PACKAGE		  REGCTA
PCK_REGCTA_1_REGULMASIVAS      ABRE_ARCHIVO		      PACKAGE		  REGCTA
PCK_REGCTA_1_TRASPASOTARJETA   ABRE_ARCHIVO		      PACKAGE		  REGCTA
PCK_DEVOLUCION_MASIVA_EXCESOS  ABRE_ARCHIVO		      PACKAGE		  CTAIND
PCK_DEVOLUCION_MASIVA_EXCESOS1 ABRE_ARCHIVO		      PACKAGE		  CTAIND
PCK_COMPAG_CONSULTAS	       ABRE_ARCHIVO		      PACKAGE		  SFECOB
PCK_ADEC_COLE_ESTADISTICAS     ABRE_ARCHIVO		      PACKAGE		  AFIL
PCK_REGULARIZA_RUT	       ABRE_ARCHIVO		      PACKAGE		  AFIL
PCK_SOLUCION_ADEC_COLE	       ABRE_ARCHIVO		      PACKAGE		  AFIL
PCK_GENERA_ESTUDIO_1	       ABRE_ARCHIVO		      PACKAGE		  AFIL
PCK_GENERA_ESTUDIO_2	       ABRE_ARCHIVO		      PACKAGE		  AFIL
PCK_GENERA_ESTUDIO_HIST        ABRE_ARCHIVO		      PACKAGE		  AFIL
PCK_GENERA_ESTUDIO_HIST_MOV    ABRE_ARCHIVO		      PACKAGE		  AFIL
