
SQL*Plus: Release 11.2.0.3.0 Production on Mon Aug 3 16:47:43 2015

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 10g Release 10.2.0.5.0 - 64bit Production

SQL> SQL> 
OBJECT_NAME		       PROCEDURE_NAME		      OBJECT_TYPE	  OWNER
------------------------------ ------------------------------ ------------------- ------------------------------
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$STANDARD_CHR	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRANSLATE	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
PKG_SIL_SUSESO		       A2_SUBSPREPOSTNM 	      PACKAGE		  ADMSIL
PKG_SIL_SUSESO		       A3_SUBSPARENTAL		      PACKAGE		  ADMSIL
PKG_SIL_SUSESO		       A6_DATOSLICCOB		      PACKAGE		  ADMSIL
PKG_SIL_SUSESO		       A7_DATOSLICRESOL 	      PACKAGE		  ADMSIL
DMP_SEC 		       ABN_PARAM_DEFAULT	      PACKAGE		  DMSYS
DBMS_DEBUG		       ABORT			      PACKAGE		  SYS
DBMS_RESUMABLE		       ABORT			      PACKAGE		  SYS
DBMS_SHARED_POOL	       ABORTED_REQUEST_THRESHOLD      PACKAGE		  SYS
DBMS_CRYPTO_TOOLKIT_FFI        ABORTIDENTITY		      PACKAGE		  SYS
DBMS_CRYPTO_TOOLKIT	       ABORTIDENTITY		      PACKAGE		  SYS
DBMS_REPCAT_FLA 	       ABORT_DEFINITION 	      PACKAGE		  SYS
DBMS_REPCAT_FLA 	       ABORT_FLAVOR_DEFINITION	      PACKAGE		  SYS
DBMS_REPCAT		       ABORT_FLAVOR_DEFINITION	      PACKAGE		  SYS
DBMS_CAPTURE_ADM	       ABORT_GLOBAL_INSTANTIATION     PACKAGE		  SYS
DBMS_CAPTURE_ADM_INTERNAL      ABORT_GLOBAL_INSTANTIATION     PACKAGE		  SYS
INITJVMAUX		       ABORT_MESSAGE		      PACKAGE		  SYS
DBMS_REDEFINITION	       ABORT_REDEF_TABLE	      PACKAGE		  SYS
DBMS_CAPTURE_ADM	       ABORT_SCHEMA_INSTANTIATION     PACKAGE		  SYS
DBMS_CAPTURE_ADM_INTERNAL      ABORT_SCHEMA_INSTANTIATION     PACKAGE		  SYS
DBMS_CAPTURE_ADM	       ABORT_TABLE_INSTANTIATION      PACKAGE		  SYS
DBMS_CAPTURE_ADM_INTERNAL      ABORT_TABLE_INSTANTIATION      PACKAGE		  SYS
