
SQL*Plus: Release 10.2.0.3.0 - Production on Tue Aug 5 11:48:36 2014

Copyright (c) 1982, 2006, Oracle.  All Rights Reserved.


Connected to:
Oracle8i Release 8.1.7.4.0 - Production
JServer Release 8.1.7.4.0 - Production

SQL> SQL> 
OBJECT_NAME		       OBJECT_TYPE	  OWNER
------------------------------ ------------------ ------------------------------
/1001a851_ConstantDefImpl      SYNONYM		  PUBLIC
/1005bd30_LnkdConstant	       SYNONYM		  PUBLIC
/10076b23_OraCustomDatumClosur SYNONYM		  PUBLIC
/1019cfe7_RdbmsProtectionMappi SYNONYM		  PUBLIC
/10297c91_SAXAttrList	       SYNONYM		  PUBLIC
/10322588_HandlerRegistryHelpe SYNONYM		  PUBLIC
/1033c8a_SqlTypeWithMethods    SYNONYM		  PUBLIC
/103a2e73_DefaultEditorKitEndP SYNONYM		  PUBLIC
/104b85c5_LogFileOutputStream  SYNONYM		  PUBLIC
/10501902_BasicFileChooserUINe SYNONYM		  PUBLIC
/105072e7_HttpSessionBindingEv SYNONYM		  PUBLIC
/106faabc_BasicTreeUIKeyHandle SYNONYM		  PUBLIC
/1079c94d_NumberConstantData   SYNONYM		  PUBLIC
/107a9fdd_AttributeDefHolder   SYNONYM		  PUBLIC
/10804ae7_Constants	       SYNONYM		  PUBLIC
/108343f6_MultiColorChooserUI  SYNONYM		  PUBLIC
/10845320_TypeMapImpl	       SYNONYM		  PUBLIC
/108549fd_SessionReference     SYNONYM		  PUBLIC
/10948dc3_PermissionImpl       SYNONYM		  PUBLIC
/1095ce9b_MultiComboBoxUI      SYNONYM		  PUBLIC
/109cbb8e_SpanShapeRendererSim SYNONYM		  PUBLIC
/10a793fd_LocaleElements_iw    SYNONYM		  PUBLIC
/10b74838_SecurityManagerImpl  SYNONYM		  PUBLIC
/10d0c623_drawBytesIndexed     SYNONYM		  PUBLIC
/10dcd7b1_ProducerConsumerProd SYNONYM		  PUBLIC
/10e48aa3_StringExpressionCons SYNONYM		  PUBLIC
/10f381d__st_DebugAgent        SYNONYM		  PUBLIC
/10f3e1ab_SizeLimitExceededExc SYNONYM		  PUBLIC
/110255eb_FSContext	       SYNONYM		  PUBLIC
/1108f652_Repository	       SYNONYM		  PUBLIC
/1116be6_RoundRectangle2DFloat SYNONYM		  PUBLIC
/111b9d88_RenderableImageProdu SYNONYM		  PUBLIC
/112bf7d4_HTMLFrameElement     SYNONYM		  PUBLIC
/1137897a_AttrsToCorba	       SYNONYM		  PUBLIC
/11399d87_NamedValueImpl       SYNONYM		  PUBLIC
/113e685e_Macro 	       SYNONYM		  PUBLIC
/113ef1a_ParamRegProfileParamR SYNONYM		  PUBLIC
/1146b53d_BasicSliderUIScrollL SYNONYM		  PUBLIC
/11598b1d_NamespaceBinding     SYNONYM		  PUBLIC
/11799933_SchemaProtectionDoma SYNONYM		  PUBLIC
/118c67ee_BeanContextSupportBC SYNONYM		  PUBLIC
/11ba27f1_CustomizerHarnessBea SYNONYM		  PUBLIC
/11d6aff4_TAG_INTERNET_IOP     SYNONYM		  PUBLIC
/11f43de0_LocaleElements_lv    SYNONYM		  PUBLIC
/12012e35_ClassDescription     SYNONYM		  PUBLIC
/1206323f_DynAnyImpl	       SYNONYM		  PUBLIC
/12076cd_IdentifierExpressionC SYNONYM		  PUBLIC
/120f4708_FullHTMLDocumentatio SYNONYM		  PUBLIC
