locale is "en_US.UTF-8"
locale charset is "UTF-8"
using default charset "UTF-8"
locale is "en_US.UTF-8"
locale charset is "UTF-8"
using default charset "UTF-8"
1> 2> Name	Owner	Object_type
APERTURA	AUDIT	user table
ARQUEO_AGENCIA	AUDIT	user table
CASO_AUGE	AUDIT	user table
DET_SR	AUDIT	user table
DET_SR_PRESUP_PAM	AUDIT	user table
DETALLE_PAGO	AUDIT	user table
FOLIO_AGENCIA	AUDIT	user table
HUELLA	AUDIT	user table
MOVIMIENTO	AUDIT	user table
MOVIMIENTO_AGENCIA	AUDIT	user table
MOVIMIENTOS_ABF	AUDIT	user table
OA	AUDIT	user table
OA_DEVUELTO	AUDIT	user table
OA_PRESUP_PAM	AUDIT	user table
PAM	AUDIT	user table
PARAMETROS_CAJA	AUDIT	user table
PERSONA_RECIBE_EMI	AUDIT	user table
PLANILLA_PAGO_COTIZ	AUDIT	user table
PRESUPUESTO_PAM	AUDIT	user table
PRST_PRESUPUESTO_PAM	AUDIT	user table
PRST_X_OA	AUDIT	user table
PRST_X_OA_PRESUP_PAM	AUDIT	user table
PRST_X_SR	AUDIT	user table
PRST_X_SR_PRESUP_PAM	AUDIT	user table
RCM	AUDIT	user table
RENDIC_COBRMED	AUDIT	user table
RENDIC_COTIZACION	AUDIT	user table
RENDIC_OA	AUDIT	user table
RENDIC_OAD	AUDIT	user table
RENDIC_OTRO_EGRESO	AUDIT	user table
RENDIC_OTRO_INGRESO	AUDIT	user table
RENDIC_SR	AUDIT	user table
RESOLUCION_PRESUP	AUDIT	user table
SOLICITUD_GES_O_CAEC	AUDIT	user table
SR	AUDIT	user table
SR_PRESUP_PAM	AUDIT	user table
VIGENCIA_INTERNA	AUDIT	user table
apertura	CONTABILIDAD	view
banco_caja	CONTABILIDAD	view
rendic_cobrmed	CONTABILIDAD	view
rendic_oa	CONTABILIDAD	view
rendic_oad	CONTABILIDAD	view
rendic_sr	CONTABILIDAD	view
MOVIMIENTO_CAJA	dbo	view
V_PRESTACION_800DR	dbo	view
V_PRESTACIONES	dbo	view
a_BANCO	dbo	user table
a_banco_elim	dbo	user table
a_banco_old	dbo	user table
A_detalle_pago	dbo	user table
a_ENTIDAD	dbo	user table
a_epn	dbo	user table
a_oa	dbo	user table
a_parametros_caja	dbo	user table
a_parametros_caja_resp	dbo	user table
a_paso	dbo	user table
abf_consultas	dbo	user table
ABF_VENTAS_EXC	dbo	user table
ACTIVIDAD_LICENCIA	dbo	user table
ACUMULADO_AUGE	dbo	user table
AFIL_CONV_COPAGO	dbo	user table
AFILIADO_WEB_20120727	dbo	user table
AFP	dbo	user table
AGENCIA	dbo	user table
AGENCIA_AGRUPADA	dbo	user table
AGENCIA_EMISION	dbo	user table
agencia_emision_20110328	dbo	user table
ANUALIDAD	dbo	user table
APELACION	dbo	user table
APERTURA	dbo	user table
apertura_cajero	dbo	user table
ARANCEL	dbo	user table
ARANCEL_HITO_FINAN	dbo	user table
ARANCEL_IA	dbo	user table
ARQUEO_AGENCIA	dbo	user table
AUGE_X_CAMBIO_CONTRATO	dbo	user table
BANCO	dbo	user table
BENEF_DEL_SEGURO	dbo	user table
BENEFICIARIO	dbo	user table
BENEFICIARIO_CON_APORTE	dbo	user table
BENEFICIO_ESPECIAL	dbo	user table
BOL_EXT	dbo	user table
BONOMATICO	dbo	user table
borrar_pam	dbo	user table
borrar_SR_PRESUP_PAM	dbo	user table
CARTA	dbo	user table
CARTA_CONSTANCIA_GES_CAEC	dbo	user table
CARTA_CONTRALORIA	dbo	user table
