
SQL*Plus: Release 11.2.0.3.0 Production on Wed Jun 12 15:39:13 2013

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production

SQL> SQL> 
OBJECT_NAME		       OBJECT_TYPE	   OWNER
------------------------------ ------------------- ------------------------------
AAM_CC97		       SYNONYM		   PUBLIC
ABSPATH 		       SYNONYM		   PUBLIC
ABSPATH 		       OPERATOR 	   XDB
ACTUALIZA_BSUC		       SYNONYM		   PUBLIC
ACT_CLC_A_LCP		       SYNONYM		   PUBLIC
ACT_LCP_A_CLC		       SYNONYM		   PUBLIC
AD_FUNTREE		       SYNONYM		   PUBLIC
AD_MENU 		       SYNONYM		   PUBLIC
AD_MOD			       SYNONYM		   PUBLIC
AD_MODFUN		       SYNONYM		   PUBLIC
AD_MODNOTES		       SYNONYM		   PUBLIC
AD_MODPARAMS		       SYNONYM		   PUBLIC
AFIL			       SYNONYM		   PUBLIC
AFILIADOS		       SYNONYM		   PUBLIC
AFILIADOS_NEW		       SYNONYM		   PUBLIC
AGEN			       SYNONYM		   PUBLIC
AGEN_AGENCIA		       TABLE		   BONOS
AGEN_AGENCIA		       SYNONYM		   PUBLIC
AGE_CENTRO_MEDICO	       SYNONYM		   PUBLIC
AGE_PRESTADOR		       SYNONYM		   PUBLIC
AHISTORY_MVLC_MLC_COMP	       SYNONYM		   PUBLIC
ALERT_TYPE		       SYNONYM		   PUBLIC
ALERT_TYPE		       TYPE		   SYS
ALL_ADMINCATLOG 	       SYNONYM		   PUBLIC
ALL_ADMINMASTERS	       SYNONYM		   PUBLIC
ALL_ADMINOBJECTS	       SYNONYM		   PUBLIC
ALL_ADMINREGSNAPS	       SYNONYM		   PUBLIC
ALL_ADMINRESOLUTION	       SYNONYM		   PUBLIC
ALL_ADMINSCHEMAS	       SYNONYM		   PUBLIC
ALL_ALL_TABLES		       SYNONYM		   PUBLIC
ALL_ALL_TABLES		       VIEW		   SYS
ALL_APPLY		       SYNONYM		   PUBLIC
ALL_APPLY		       VIEW		   SYS
ALL_APPLY_CHANGE_HANDLERS      SYNONYM		   PUBLIC
ALL_APPLY_CONFLICT_COLUMNS     SYNONYM		   PUBLIC
ALL_APPLY_CONFLICT_COLUMNS     VIEW		   SYS
ALL_APPLY_DML_CONF_COLUMNS     VIEW		   SYS
ALL_APPLY_DML_CONF_COLUMNS     SYNONYM		   PUBLIC
ALL_APPLY_DML_CONF_HANDLERS    VIEW		   SYS
ALL_APPLY_DML_CONF_HANDLERS    SYNONYM		   PUBLIC
ALL_APPLY_DML_HANDLERS	       VIEW		   SYS
ALL_APPLY_DML_HANDLERS	       SYNONYM		   PUBLIC
ALL_APPLY_ENQUEUE	       SYNONYM		   PUBLIC
ALL_APPLY_ENQUEUE	       VIEW		   SYS
ALL_APPLY_ERROR 	       VIEW		   SYS
ALL_APPLY_ERROR 	       SYNONYM		   PUBLIC
ALL_APPLY_ERROR_MESSAGES       SYNONYM		   PUBLIC
ALL_APPLY_ERROR_MESSAGES       VIEW		   SYS
ALL_APPLY_EXECUTE	       SYNONYM		   PUBLIC
ALL_APPLY_EXECUTE	       VIEW		   SYS
ALL_APPLY_HANDLE_COLLISIONS    VIEW		   SYS
ALL_APPLY_HANDLE_COLLISIONS    SYNONYM		   PUBLIC
