
SQL*Plus: Release 11.2.0.3.0 Production on Tue Jun 18 14:42:15 2013

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production

SQL> SQL> 
OBJECT_NAME		       PROCEDURE_NAME		      OBJECT_TYPE	  OWNER
------------------------------ ------------------------------ ------------------- ------------------------------
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$DSINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_FROM	      PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$EXTRACT_STRING_FROM       PACKAGE		  SYS
STANDARD			SYS$STANDARD_CHR	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRANSLATE	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$STANDARD_TRIM	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
STANDARD			SYS$YMINTERVALSUBTRACT	      PACKAGE		  SYS
DBMS_DEBUG		       ABORT			      PACKAGE		  SYS
DBMS_XS_SESSIONS	       ABORTATTACH_SESSION	      PACKAGE		  SYS
DBMS_CRYPTO_TOOLKIT	       ABORTIDENTITY		      PACKAGE		  SYS
STANDARD		       ABS			      PACKAGE		  SYS
STANDARD		       ABS			      PACKAGE		  SYS
STANDARD		       ABS			      PACKAGE		  SYS
STANDARD		       ABS			      PACKAGE		  SYS
XDB_ANCOP		       ABSPATH_FUNC		      PACKAGE		  XDB
XDB_ANCOP		       ABSPATH_FUNC		      PACKAGE		  XDB
XDB_ANCOP		       ABSPATH_FUNC_INT 	      PACKAGE		  XDB
DBMS_SQLDIAG		       ACCEPT_SQL_PATCH 	      PACKAGE		  SYS
DBMS_SQLDIAG		       ACCEPT_SQL_PATCH 	      PACKAGE		  SYS
DBMS_SQLTUNE		       ACCEPT_SQL_PROFILE	      PACKAGE		  SYS
DBMS_SQLTUNE		       ACCEPT_SQL_PROFILE	      PACKAGE		  SYS
ANYDATA 		       ACCESSBDOUBLE		      TYPE		  SYS
ANYDATA 		       ACCESSBFILE		      TYPE		  SYS
ANYDATA 		       ACCESSBFLOAT		      TYPE		  SYS
ANYDATA 		       ACCESSBLOB		      TYPE		  SYS
ANYDATA 		       ACCESSCHAR		      TYPE		  SYS
ANYDATA 		       ACCESSCLOB		      TYPE		  SYS
ANYDATA 		       ACCESSDATE		      TYPE		  SYS
ANYDATA 		       ACCESSINTERVALDS 	      TYPE		  SYS
ANYDATA 		       ACCESSINTERVALYM 	      TYPE		  SYS
ANYDATA 		       ACCESSNCHAR		      TYPE		  SYS
ANYDATA 		       ACCESSNCLOB		      TYPE		  SYS
ANYDATA 		       ACCESSNUMBER		      TYPE		  SYS
ANYDATA 		       ACCESSNVARCHAR2		      TYPE		  SYS
ANYDATA 		       ACCESSRAW		      TYPE		  SYS
